Case 6
Time 141.172
stage, value
%Stage 0, 11, 11, 0.03076923076923077, 0.009625300790649709
%Stage 1, 27, 38, 0.06785714285714287, 0.022817460317460316
%Stage 2, 63, 101, 0.09611111111111109, 0.03925949569103095
%Stage 3, 64, 165, 0.0921875, 0.039125077017868146
%Stage 4, 64, 229, 0.10735294117647051, 0.0469678953626635
%Stage 5, 91, 320, 0.1356481481481481, 0.06615120274914085
%Stage 6, 114, 434, 0.14210526315789498, 0.07419712070874865
%Stage 7, 127, 561, 0.14333333333333345, 0.08045977011494253
%Stage 8, 159, 720, 0.14484126984126958, 0.08630490956072365
%Stage 9, 180, 900, 0.14545454545454548, 0.0927601809954749
%Stage 10, 265, 1165, 0.1576086956521737, 0.10410557184750725
