reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
stage, value
%Stage 0, 243, 243,0.13645833333333332, 0.06394518983728237
%Stage 1, 429, 672,0.1803921568627448, 0.1107419712070876
%Stage 2, 440, 1112,0.18564814814814812, 0.1204174471501203
%Stage 3, 533, 1645,0.18552631578947407, 0.1477360931435963
%Stage 4, 413, 2058,0.1900000000000001, 0.1593765711412766
%Stage 5, 446, 2504,0.18650793650793607, 0.1650390625
%Stage 6, 447, 2951,0.17803030303030284, 0.16124436000949907
%Stage 7, 447, 3398,0.1702898550724636, 0.15645161290322634
%Stage 8, 447, 3845,0.16319444444444411, 0.15272154745838992
%Stage 9, 447, 4292,0.16319444444444411, 0.14909969257795394
%Stage 10, 447, 4739,0.16319444444444411, 0.14520958083832358
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
stage, value
%Stage 0, 242, 242,0.14010416666666667, 0.06109049386240372
%Stage 1, 439, 681,0.18627450980392124, 0.11904761904761917
%Stage 2, 467, 1148,0.18749999999999997, 0.1288590604026842
%Stage 3, 528, 1676,0.1942982456140355, 0.14129586260733812
%Stage 4, 413, 2089,0.1895833333333335, 0.16041299420800825
%Stage 5, 445, 2534,0.18650793650793607, 0.16446402349486083
%Stage 6, 447, 2981,0.17803030303030284, 0.16109134045077095
%Stage 7, 447, 3428,0.1702898550724636, 0.15713955102985486
%Stage 8, 447, 3875,0.16319444444444411, 0.15272154745838992
%Stage 9, 447, 4322,0.16319444444444411, 0.14909969257795394
%Stage 10, 447, 4769,0.16319444444444411, 0.1454896078851508
