reconfigureRate is 122, reconfigureDcRate is 40 
Case 0
Time 78252.92400000001
stage, value
%Stage 0, 120, 120,0.21346153846153845, 0.07493984187005845
%Stage 1, 183, 303,0.22619047619047583, 0.1099407504937457
%Stage 2, 480, 783,0.2461111111111111, 0.16396568160152486
%Stage 3, 590, 1373,0.24218749999999967, 0.18897396630934116
%Stage 4, 414, 1787,0.2294117647058819, 0.18709295441089474
%Stage 5, 439, 2226,0.21759259259259262, 0.18637274549098198
%Stage 6, 440, 2666,0.20614035087719343, 0.18156656518128947
%Stage 7, 441, 3107,0.19583333333333344, 0.17642341619887703
%Stage 8, 442, 3549,0.18650793650793607, 0.1713178294573649
%Stage 9, 442, 3991,0.17803030303030284, 0.16608216432865697
%Stage 10, 442, 4433,0.17028985507246364, 0.1610395919358757
