Case 6
Time 6191.936000000001
stage, value
%Stage 0, 15, 15, 0.04230769230769231, 0.013750429700928154
%Stage 1, 87, 102, 0.1077380952380952, 0.05398288347597107
%Stage 2, 113, 215, 0.14777777777777767, 0.08071178900540192
%Stage 3, 133, 348, 0.1588541666666665, 0.09447852760736195
%Stage 4, 135, 483, 0.15980392156862727, 0.09828807556080275
%Stage 5, 157, 640, 0.15601851851851842, 0.10508280982295834
%Stage 6, 206, 846, 0.1649122807017547, 0.12382271468144049
%Stage 7, 240, 1086, 0.16458333333333341, 0.13053988718775167
%Stage 8, 265, 1351, 0.16507936507936471, 0.13619791666666672
%Stage 9, 300, 1651, 0.16325757575757563, 0.14134275618374534
%Stage 10, 396, 2047, 0.16630434782608677, 0.1575208231259188
