Case 6
Time 73.96875
stage, value
%Stage 0, 11, 11, 0.03076923076923077, 0.009625300790649709
%Stage 1, 27, 38, 0.06785714285714287, 0.022817460317460316
%Stage 2, 63, 101, 0.09611111111111109, 0.03925949569103095
%Stage 3, 64, 165, 0.0921875, 0.039125077017868146
%Stage 4, 65, 230, 0.10441176470588229, 0.048722519310754595
%Stage 5, 89, 319, 0.11759259259259253, 0.05912743972445459
%Stage 6, 125, 444, 0.1416666666666669, 0.08275671187378907
%Stage 7, 142, 586, 0.1466666666666668, 0.08446939321037156
%Stage 8, 156, 742, 0.14841269841269814, 0.09198966408268744
%Stage 9, 180, 922, 0.14545454545454548, 0.0927601809954749
%Stage 10, 265, 1187, 0.1576086956521737, 0.10410557184750725
