reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
stage, value
%Stage 0, 276, 276,0.14692982456140352, 0.07441860465116282
%Stage 1, 502, 778,0.17458333333333337, 0.11158798283261817
%Stage 2, 528, 1306,0.175396825396825, 0.11858899976792805
%Stage 3, 626, 1932,0.17803030303030287, 0.1378999549346554
%Stage 4, 441, 2373,0.1702898550724636, 0.14634146341463425
%Stage 5, 447, 2820,0.16319444444444411, 0.1454584404455875
%Stage 6, 447, 3267,0.16319444444444411, 0.14202049780380693
%Stage 7, 447, 3714,0.16319444444444411, 0.13896848137535797
%Stage 8, 447, 4161,0.16319444444444411, 0.13550189582917577
%Stage 9, 447, 4608,0.16319444444444411, 0.13550189582917577
%Stage 10, 447, 5055,0.16319444444444411, 0.13550189582917577
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
stage, value
%Stage 0, 312, 312,0.14912280701754385, 0.07588739290085679
%Stage 1, 535, 847,0.17458333333333334, 0.11349546971864578
%Stage 2, 535, 1382,0.17857142857142816, 0.12160594105360921
%Stage 3, 620, 2002,0.17462121212121193, 0.14803965750338008
%Stage 4, 447, 2449,0.1702898550724636, 0.14919797846627122
%Stage 5, 447, 2896,0.16319444444444411, 0.14520958083832358
%Stage 6, 447, 3343,0.16319444444444411, 0.14166492802002945
%Stage 7, 447, 3790,0.16319444444444411, 0.13840195678760703
%Stage 8, 447, 4237,0.16319444444444411, 0.13550189582917577
%Stage 9, 447, 4684,0.16319444444444411, 0.13550189582917577
%Stage 10, 447, 5131,0.16319444444444411, 0.13550189582917577
