no-reconfig120,link-reconfig120,"Lim-rec(5,0)","Lim-rec(5,2)",Any-rec
0.009625301,0.01375043,0.020625645,0.021656927,0.074939842
0.02281746,0.053982883,0.051020408,0.065832785,0.10994075
0.039259496,0.080711789,0.095964411,0.097553225,0.163965682
0.039125077,0.094478528,0.104427481,0.114408076,0.188973966
0.046967895,0.098288076,0.120694731,0.157832396,0.187092954
0.066151203,0.10508281,0.157549858,0.161336379,0.186372745
0.074197121,0.123822715,0.175206612,0.161432507,0.181566565
0.08045977,0.130539887,0.181163287,0.167289221,0.176423416
0.08630491,0.136197917,0.175770127,0.174734662,0.171317829
0.092760181,0.141342756,0.17009018,0.17009018,0.166082164
0.104105572,0.157520823,0.165247019,0.165126459,0.161039592
