no-reconfig120,link-reconfig120,"Lim-rec(5,0)","Lim-rec(5,2)",Any-rec
0.030769231,0.042307692,0.056410256,0.063461538,0.213461538
0.067857143,0.107738095,0.11547619,0.132142857,0.226190476
0.096111111,0.147777778,0.167777778,0.17,0.246111111
0.0921875,0.158854167,0.180208333,0.177083333,0.2421875
0.107352941,0.159803922,0.185784314,0.189705882,0.229411765
0.135648148,0.156018519,0.194907407,0.205092593,0.217592593
0.142105263,0.164912281,0.197368421,0.202631579,0.206140351
0.143333333,0.164583333,0.195833333,0.195833333,0.195833333
0.14484127,0.165079365,0.186507937,0.186507937,0.186507937
0.145454545,0.163257576,0.178030303,0.178030303,0.178030303
0.157608696,0.166304348,0.170289855,0.170289855,0.170289855
