no-reconfig120,link-reconfig120,"Lim-rec(5,0)","Lim-rec(5,2)",Any-rec
0.0890625,0.127083333,0.136458333,0.140104167,0.232291667
0.11372549,0.167647059,0.180392157,0.18627451,0.230392157
0.111111111,0.171296296,0.185648148,0.1875,0.217592593
0.113596491,0.164912281,0.185526316,0.194298246,0.206140351
0.1325,0.162916667,0.19,0.189583333,0.195833333
0.154761905,0.162698413,0.186507937,0.186507937,0.186507937
0.15530303,0.163257576,0.178030303,0.178030303,0.178030303
0.160869565,0.166304348,0.170289855,0.170289855,0.170289855
0.159722222,0.163194444,0.163194444,0.163194444,0.163194444
0.161111111,0.163194444,0.163194444,0.163194444,0.163194444
0.161111111,0.163194444,0.163194444,0.163194444,0.163194444
