no-reconfig120,link-reconfig120,"Lim-rec(5,0)","Lim-rec(5,2)",Any-rec
0.04626683,0.067074663,0.074418605,0.075887393,0.110893513
0.060238095,0.104434907,0.111587983,0.11349547,0.150925486
0.082385704,0.112584322,0.118589,0.121605941,0.148071148
0.102216192,0.121033545,0.137899955,0.148039658,0.146105358
0.115578994,0.131049724,0.146341463,0.149197978,0.143265216
0.124678663,0.145896003,0.14545844,0.145209581,0.140290847
0.126333403,0.142377857,0.142020498,0.141664928,0.137492176
0.133033156,0.138741316,0.138968481,0.138401957,0.135973867
0.135501896,0.135501896,0.135501896,0.135501896,0.135501896
0.135501896,0.135501896,0.135501896,0.135501896,0.135501896
0.135501896,0.135501896,0.135501896,0.135501896,0.135501896
