Case 6
Time 1723.043549
stage, value
%Stage 0, 0, 0, 0.054093567251461985, 0.01641907740422205
%Stage 1, 0, 0, 0.11710037174721202, 0.03946369845686825
%Stage 2, 0, 0, 0.15319715808170525, 0.06638800098352604
%Stage 3, 0, 0, 0.15371692566148712, 0.06715884734460591
%Stage 4, 0, 0, 0.15186822016874238, 0.07128027681660881
%Stage 5, 70, 70, 0.16794478527607304, 0.08849162011173199
%Stage 6, 170, 240, 0.17360855141909376, 0.10013003901170378
%Stage 7, 200, 440, 0.16865776528461052, 0.10118043844856689
%Stage 8, 200, 640, 0.16865776528461052, 0.09840098400984032
%Stage 9, 200, 840, 0.16865776528461052, 0.09567470599960157
%Stage 10, 200, 1040, 0.16865776528461052, 0.09365853658536592
