reconfigureRate is 120, reconfigureDcRate is 40 
Case 0
Time 47646.718055000005
stage, value
%Stage 0, 800, 800,0.24986737400530504, 0.14661939731577625
%Stage 1, 600, 1400,0.23833167825223375, 0.15462392108508033
%Stage 2, 400, 1800,0.22662889518413562, 0.16754176610978544
%Stage 3, 400, 2200,0.21592442645074303, 0.16512488436632702
%Stage 4, 200, 2400,0.20618556701030882, 0.16094276094276164
%Stage 5, 200, 2600,0.19615856150388272, 0.15761821366024598
%Stage 6, 200, 2800,0.18648018648018602, 0.15397775876817793
%Stage 7, 200, 3000,0.1769259122742357, 0.1505331381977838
%Stage 8, 200, 3200,0.16865776528461052, 0.1466992665036675
%Stage 9, 200, 3400,0.16865776528461052, 0.1429138547042475
%Stage 10, 200, 3600,0.16865776528461052, 0.1401323472168164
