Case 6
Time 34.785070000000005
stage, value
%Stage 0, 0, 0, 0.10503978779840849, 0.03038743985819197
%Stage 1, 0, 0, 0.12368024132729998, 0.040690505548705326
%Stage 2, 0, 0, 0.12747875354107632, 0.046209386281588515
%Stage 3, 20, 20, 0.14170040485829968, 0.060534960112623284
%Stage 4, 40, 60, 0.1553480475382005, 0.08538251366120227
%Stage 5, 60, 120, 0.17066233238520914, 0.10214459429582115
%Stage 6, 120, 240, 0.17441860465116238, 0.11979390296264518
%Stage 7, 170, 410, 0.1739933505725902, 0.12764619576608693
%Stage 8, 200, 610, 0.16865776528461052, 0.13786764705882318
%Stage 9, 200, 810, 0.16865776528461052, 0.14168501100660436
%Stage 10, 200, 1010, 0.16865776528461052, 0.13973884233092965
