reconfigureRate is 5, reconfigureDcRate is 0 
Case 0
Time 124495.66964999998
stage, value
%Stage 0, 160, 160,0.15119760479041916, 0.10539215686274485
%Stage 1, 270, 430,0.17267197005147422, 0.1458990536277598
%Stage 2, 280, 710,0.19148936170212788, 0.18061224489795955
%Stage 3, 320, 1030,0.19200000000000061, 0.1974174323317615
%Stage 4, 200, 1230,0.19176987614862187, 0.23043686989918472
%Stage 5, 200, 1430,0.184119677790564, 0.22408963585434108
%Stage 6, 200, 1630,0.17731806427779895, 0.2183306800090977
%Stage 7, 200, 1830,0.16865776528461052, 0.21262458471760903
%Stage 8, 200, 2030,0.16865776528461052, 0.20797227036395036
%Stage 9, 200, 2230,0.16865776528461052, 0.2032606394240944
%Stage 10, 200, 2430,0.16865776528461052, 0.19753086419753033
reconfigureRate is 5, reconfigureDcRate is 2 
Case 2
Time 134050.75623700002
stage, value
%Stage 0, 160, 160,0.15119760479041916, 0.11029411764705856
%Stage 1, 270, 430,0.17828731867103437, 0.14905362776025188
%Stage 2, 260, 690,0.194148936170213, 0.18520408163265348
%Stage 3, 380, 1070,0.19882550335570437, 0.23243109014154573
%Stage 4, 200, 1270,0.19323671497584594, 0.23043686989918472
%Stage 5, 200, 1470,0.18440261237034228, 0.22408963585434108
%Stage 6, 200, 1670,0.17731806427779895, 0.2183306800090977
%Stage 7, 200, 1870,0.16865776528461052, 0.21262458471760903
%Stage 8, 200, 2070,0.16865776528461052, 0.20770229337949037
%Stage 9, 200, 2270,0.16865776528461052, 0.2032606394240944
%Stage 10, 200, 2470,0.16865776528461052, 0.19753086419753033
