Case 6
Time 36.111737999999995
stage, value
%Stage 0, 40, 40, 0.11077844311377245, 0.053921568627450914
%Stage 1, 60, 100, 0.12293923692887408, 0.06969376979936638
%Stage 2, 40, 140, 0.15292553191489358, 0.10466004583651654
%Stage 3, 40, 180, 0.15157894736842126, 0.11006445215666862
%Stage 4, 110, 290, 0.17259288853375968, 0.1613214371835061
%Stage 5, 140, 430, 0.17748751440645444, 0.18851113716295378
%Stage 6, 190, 620, 0.1762098263760627, 0.19381255686988136
%Stage 7, 190, 810, 0.1676036542515817, 0.1967978652434948
%Stage 8, 190, 1000, 0.1676036542515817, 0.19667888721155977
%Stage 9, 190, 1190, 0.1676036542515817, 0.19558359621451227
%Stage 10, 200, 1390, 0.16865776528461052, 0.19255928045789109
Case 6
Time 36.38716
stage, value
%Stage 0, 40, 40, 0.11077844311377245, 0.053921568627450914
%Stage 1, 60, 100, 0.12293923692887408, 0.06969376979936638
%Stage 2, 40, 140, 0.15292553191489358, 0.10466004583651654
%Stage 3, 40, 180, 0.15157894736842126, 0.11006445215666862
%Stage 4, 110, 290, 0.17259288853375968, 0.1613214371835061
%Stage 5, 140, 430, 0.17748751440645444, 0.18851113716295378
%Stage 6, 190, 620, 0.1762098263760627, 0.19381255686988136
%Stage 7, 190, 810, 0.1676036542515817, 0.1967978652434948
%Stage 8, 190, 1000, 0.1676036542515817, 0.19667888721155977
%Stage 9, 190, 1190, 0.1676036542515817, 0.19558359621451227
%Stage 10, 200, 1390, 0.16865776528461052, 0.19255928045789109
Case 6
Time 35.89875
stage, value
%Stage 0, 40, 40, 0.11077844311377245, 0.053921568627450914
%Stage 1, 60, 100, 0.12293923692887408, 0.06969376979936638
%Stage 2, 40, 140, 0.15292553191489358, 0.10466004583651654
%Stage 3, 40, 180, 0.15157894736842126, 0.11006445215666862
%Stage 4, 110, 290, 0.17259288853375968, 0.1613214371835061
%Stage 5, 140, 430, 0.17748751440645444, 0.18851113716295378
%Stage 6, 190, 620, 0.1762098263760627, 0.19381255686988136
%Stage 7, 190, 810, 0.1676036542515817, 0.1967978652434948
%Stage 8, 190, 1000, 0.1676036542515817, 0.19667888721155977
%Stage 9, 190, 1190, 0.1676036542515817, 0.19558359621451227
%Stage 10, 200, 1390, 0.16865776528461052, 0.19255928045789109
